,Town,Latitude,Longitude
0,Bergville,-28.7305 , 29.3512 
1,Boston,-29.6667 , 29.9667 
2,Bulwer,-29.8077 , 29.7600 
3,Cramond,-29.3765 , 30.4392 
4,Creighton,-30.0312 , 29.8439 
5,Dalton,-29.3421 , 30.6301 
6,Donnybrook,-29.9276 , 29.8782 
7,Dundee,-28.1650 , 30.2343 
8,Empangeni,-28.7532 , 31.8935 
9,Eshowe,-28.8947 , 31.4628 
10,Estcourt,-29.0124 , 29.8642 
11,Eston,-29.8706 , 30.5067 
12,Greytown,-29.0549 , 30.6085 
13,Harding,-30.5769 , 29.8931 
14,Highflats,-30.2667 , 30.2000 
15,Howick,-29.4893 , 30.2167 
16,Ixopo,-30.1532 , 30.0694 
17,Jozini,-27.4294 , 32.0651 
18,Kranskop,-28.9667 , 30.8642 
19,Kwambonambi,-28.6038 , 32.0866 
20,Magudu,-25.8934 , 31.7252 
21,Melmoth,-28.5774 , 31.3942 
22,New Hanover,-29.3578 , 30.5265 
23,Newcastle,-27.7138 , 29.9972 
24,Nseleni,-28.6637 , 32.0227 
25,Paddock,-30.7422 , 30.2851 
26,Pongola,-27.3831 , 31.6198 
27,Port Edward,-31.0509 , 30.2224 
28,Port Shepstone,-30.7277 , 30.4473 
29,Richmond,-29.9033 , 30.2397 
30,Umkomaas,-30.2007 , 30.7838 
31,Umzimkulu,-30.2642 , 29.9191 
32,Umzinto,-30.3078 , 30.6644 
33,Underberg,-29.7929 , 29.4918 
34,Wartburg,-29.4332 , 30.5812 
35,Weenen,-28.8359 , 30.0896 
